soubor,cislo,typ_zdroje,stav,osoba_nebo_skupina,cilova_slozka,sirka_px,vyska_px,velikost_b,upravena_varianta,zdrojova_cesta,dhash,ostrost,sha256,presna_duplicita,kontrola_ostrosti,nejblizsi_zaber,vizualni_vzdalenost,kontrola_podobnosti
Jan Macourek1.jpg,,jednotlivci,zarazeno,Jan Macourek,02_jan-macourek,4907,3505,7229086,False,/Users/giorgio/Documents/Přezletice 26/Originální fotky/01_kandidati/01_originalni_fotky/02_jan-macourek/jan-macourek__vyber-01.jpg,cce8686979f4cc58,27.370,ed91f88f8406bf02c2452bbc9fa88b9845f011c33ee3cd6529fa5c5857b4a89e,,False,_R5A2933.jpg,8,False
_R5A2815.jpg,2815,jednotlivci,zarazeno,Jan Macourek,02_jan-macourek,3924,5494,10149173,False,/Users/giorgio/Documents/Přezletice 26/Originální fotky/01_kandidati/01_originalni_fotky/02_jan-macourek/jan-macourek__r5a2815.jpg,ac646ce0f322666a,25.170,10be5642f46b9b62878c9453caa59701e2557dab712c6fe4c56e5ca2d9bc8106,,False,_R5A2816.jpg,12,False
_R5A2816.jpg,2816,jednotlivci,zarazeno,Jan Macourek,02_jan-macourek,3742,5239,9785422,False,/Users/giorgio/Documents/Přezletice 26/Originální fotky/01_kandidati/01_originalni_fotky/02_jan-macourek/jan-macourek__r5a2816.jpg,246de9e0a323624a,31.457,4f5b87bd2544a5debd4235bc0c89b97cf6670bb030ab504c45f375c410b588f5,,False,_R5A2817.jpg,10,False
_R5A2817.jpg,2817,jednotlivci,zarazeno,Jan Macourek,02_jan-macourek,3750,5250,9895935,False,/Users/giorgio/Documents/Přezletice 26/Originální fotky/01_kandidati/01_originalni_fotky/02_jan-macourek/jan-macourek__r5a2817.jpg,2d6de9f0f3238a6a,31.073,0638ea30a520a5a6246443e6a0b3bd4e0aefcb3166d4825dec7572d73a791982,,False,_R5A2816.jpg,10,False
_R5A2818.jpg,2818,jednotlivci,zarazeno,Jan Macourek,02_jan-macourek,3754,5255,10078565,False,/Users/giorgio/Documents/Přezletice 26/Originální fotky/01_kandidati/01_originalni_fotky/02_jan-macourek/jan-macourek__r5a2818.jpg,0cc9e9f9b8329ca4,37.471,2fd9bc50637b31e091f9d9647080b8a262f00f9aa6c3cd4419017dddd002903a,,False,_R5A2823.jpg,10,False
_R5A2820.jpg,2820,jednotlivci,zarazeno,Jan Macourek,02_jan-macourek,3869,5417,11181892,False,/Users/giorgio/Documents/Přezletice 26/Originální fotky/01_kandidati/01_originalni_fotky/02_jan-macourek/jan-macourek__r5a2820.jpg,0cccecd0d8339c24,36.791,632a04327ee6037f77d8b6bc52f33f4c385bba5d476a49b88145b57b16cd477e,,False,_R5A2821.jpg,9,False
_R5A2821.jpg,2821,jednotlivci,zarazeno,Jan Macourek,02_jan-macourek,3904,5465,10583118,False,/Users/giorgio/Documents/Přezletice 26/Originální fotky/01_kandidati/01_originalni_fotky/02_jan-macourek/jan-macourek__r5a2821.jpg,4cccccf0f832922c,31.171,fb4b8633c6ea6415525ede1ac9638a69e27bc1d394991c206a2d7f5334a44ec2,,False,_R5A2820.jpg,9,False
_R5A2823.jpg,2823,jednotlivci,zarazeno,Jan Macourek,02_jan-macourek,3258,4560,8054683,False,/Users/giorgio/Documents/Přezletice 26/Originální fotky/01_kandidati/01_originalni_fotky/02_jan-macourek/jan-macourek__r5a2823.jpg,c9cbe9b9b832982d,35.352,63187017bfdfd986b0bd91075c8e3a3b628083f072e4070919b288df438a827a,,False,_R5A2818.jpg,10,False
_R5A2824.jpg,2824,jednotlivci,zarazeno,Jan Macourek,02_jan-macourek,5161,3686,9615707,False,/Users/giorgio/Documents/Přezletice 26/Originální fotky/01_kandidati/01_originalni_fotky/02_jan-macourek/jan-macourek__r5a2824.jpg,8ce8e37272f0d458,37.499,16825050ba9ae4edcf47891db82014b43fd6b4ebbd2e078820ee0fb033040fb8,,False,_R5A2827.jpg,8,False
_R5A2825.jpg,2825,jednotlivci,zarazeno,Jan Macourek,02_jan-macourek,5161,3686,8237311,False,/Users/giorgio/Documents/Přezletice 26/Originální fotky/01_kandidati/01_originalni_fotky/02_jan-macourek/jan-macourek__r5a2825.jpg,cfc8627371f0dc18,42.898,a21ca8e33b06bde163cce84b72a576b7a6517d02d741bf17a8cb7ac572d580bd,,False,_R5A2824.jpg,11,False
