poradi,osoba,soubor_vyberu,soubor_v_auditu,sirka_px,vyska_px,velikost_b,sha256,zdrojova_cesta
01,Tomáš Říha,Tomáš Říha.jpg,01-tomas-riha.jpg,3336,4670,8228301,942c2b4fef77f4f55031ffc4e48d6c92aed22ee2d0513bd4648614f836eac68f,/Users/giorgio/Documents/Přezletice 26/Originální fotky/01_kandidati/02_vybrano_agenturou/01-tomas-riha.jpg
02,Jan Macourek,Jan Macourek.jpg,02-jan-macourek.jpg,3869,5416,10284382,01d16c18b874c2aa7c46d8fba408383c40f74ae2d83fbd042093af16b04e4fd1,/Users/giorgio/Documents/Přezletice 26/Originální fotky/01_kandidati/02_vybrano_agenturou/02-jan-macourek.jpg
03,Romana Bernardová,Romana Bernardová.jpg,03-romana-bernardova.jpg,5370,3836,8508508,d9fd5273e39d7a62ebbd79aa7d0eab96e087ac24c7f7caa0ebe26dc6bba47c70,/Users/giorgio/Documents/Přezletice 26/Originální fotky/01_kandidati/02_vybrano_agenturou/03-romana-bernardova.jpg
04,Lenka Bulová,Lenka Bulová.jpg,04-lenka-bulova.jpg,5327,3805,8496887,8704a9a29c7328875f29e2a1b70d20b07a44df3aef88129ff4376d6a33169ad7,/Users/giorgio/Documents/Přezletice 26/Originální fotky/01_kandidati/02_vybrano_agenturou/04-lenka-bulova.jpg
05,Jan Káňa,Jan Káňa.jpg,05-jan-kana.jpg,4934,3524,8162342,763ca5b57841f20c996b6c830ae99ca176feef84a6cb1e2421b764b87770ed73,/Users/giorgio/Documents/Přezletice 26/Originální fotky/01_kandidati/02_vybrano_agenturou/05-jan-kana.jpg
06,Pavel Řeřucha,Pavel Řeřucha.jpg,06-pavel-rerucha.jpg,4761,3401,6364441,0c600031111b8ecd4f587ea1c5a06862c8aca8032423333ecf7ef21e78255339,/Users/giorgio/Documents/Přezletice 26/Originální fotky/01_kandidati/02_vybrano_agenturou/06-pavel-rerucha.jpg
07,Václav Šmerda,Václav Šmerda.jpg,07-vaclav-smerda.jpg,4626,3304,5985648,f6bb0208a5ccc2107b0f46bf343e485ec6c85d8a1116a12f22a615ed5825d5eb,/Users/giorgio/Documents/Přezletice 26/Originální fotky/01_kandidati/02_vybrano_agenturou/07-vaclav-smerda.jpg
08,Břetislav Lukeš,Břetislav Lukeš.jpg,08-bretislav-lukes.jpg,5013,3581,7168235,885ab52dcf981e760c69a10c139de101247a162e79bbde366f4ac351e4308ebb,/Users/giorgio/Documents/Přezletice 26/Originální fotky/01_kandidati/02_vybrano_agenturou/08-bretislav-lukes.jpg
09,Lenka Brožová,Lenka Brožová.jpg,09-lenka-brozova.jpg,5229,3735,7321733,b7e54697369ac4523734eb93609b8b76d641f9ebdde75c24a195fd047dde0a9a,/Users/giorgio/Documents/Přezletice 26/Originální fotky/01_kandidati/02_vybrano_agenturou/09-lenka-brozova.jpg
10,Jakub Tříska,Jakub Tříska.jpg,10-jakub-triska.jpg,4973,3552,6330535,3d6d4ccfe2edaf0c480df4d1eaffd44c334f611a5da5bafd9db386a857974e8b,/Users/giorgio/Documents/Přezletice 26/Originální fotky/01_kandidati/02_vybrano_agenturou/10-jakub-triska.jpg
11,Vojta Brož,Vojta Brož.jpg,11-vojta-broz.jpg,5176,3697,6567631,6c464b22ca6f31d0e83bb09e7d646daf13fb7756d120ab740269cb65f5c28970,/Users/giorgio/Documents/Přezletice 26/Originální fotky/01_kandidati/02_vybrano_agenturou/11-vojta-broz.jpg
