soubor,cislo,stav,pocet_shod,projekty,sirka_px,vyska_px,velikost_b,upravena_varianta,zdrojova_cesta,dhash,ostrost,sha256,presna_duplicita,kontrola_ostrosti,nejblizsi_zaber,vizualni_vzdalenost,kontrola_podobnosti
dalsi-lokalni-zelen__y7a6661.jpg,6661,zarazeno,1,01_zivotni_prostredi/dalsi-lokalni-zelen,5472,3648,11549017,False,/Users/giorgio/Documents/Přezletice 26/Originální fotky/02_projekty/01_zivotni_prostredi/dalsi-lokalni-zelen/dalsi-lokalni-zelen__y7a6661.jpg,cc889992dcdc389a,73.594,6626e2e4c3da4871ec84b46003b5f8637a2191e85282798b9a69337abd1cc162,,False,krizovatka-nohavice__y7a6830.jpg,18,False
hruskove-aleje-a-dalsi-zelen__y7a6678.jpg,6678,zarazeno,1,01_zivotni_prostredi/hruskove-aleje-a-dalsi-zelen,5444,3629,13613638,False,/Users/giorgio/Documents/Přezletice 26/Originální fotky/02_projekty/01_zivotni_prostredi/hruskove-aleje-a-dalsi-zelen/hruskove-aleje-a-dalsi-zelen__y7a6678.jpg,a787858182c0e0f0,134.272,66740ab654c5e23fb25ca1db524f3eb38016c256818898db39858d27770f29c0,,False,hruskove-aleje-a-dalsi-zelen__y7a6683.jpg,17,False
hruskove-aleje-a-dalsi-zelen__y7a6679.jpg,6679,zarazeno,1,01_zivotni_prostredi/hruskove-aleje-a-dalsi-zelen,5472,3648,14782889,False,/Users/giorgio/Documents/Přezletice 26/Originální fotky/02_projekty/01_zivotni_prostredi/hruskove-aleje-a-dalsi-zelen/hruskove-aleje-a-dalsi-zelen__y7a6679.jpg,c0e2d1f1f29834f4,130.735,8a04ff62803b3ffad5f0a9d6ea952c6f39e2127105ec7cdcfe67eb4da0c27617,,False,rekonstrukce-prutahovych-komunikaci__y7a6747.jpg,16,False
hruskove-aleje-a-dalsi-zelen__y7a6680.jpg,6680,zarazeno,1,01_zivotni_prostredi/hruskove-aleje-a-dalsi-zelen,5058,3372,13440931,False,/Users/giorgio/Documents/Přezletice 26/Originální fotky/02_projekty/01_zivotni_prostredi/hruskove-aleje-a-dalsi-zelen/hruskove-aleje-a-dalsi-zelen__y7a6680.jpg,dcd2f2f031f4f2f0,169.337,9af0afc6beaba151023fd009711c356603c15ec12fbffc3af11ce23a0c439cb0,,False,hruskove-aleje-a-dalsi-zelen__y7a6681.jpg,17,False
hruskove-aleje-a-dalsi-zelen__y7a6681.jpg,6681,zarazeno,1,01_zivotni_prostredi/hruskove-aleje-a-dalsi-zelen,5472,3648,15867238,False,/Users/giorgio/Documents/Přezletice 26/Originální fotky/02_projekty/01_zivotni_prostredi/hruskove-aleje-a-dalsi-zelen/hruskove-aleje-a-dalsi-zelen__y7a6681.jpg,d474666268e4f2d0,151.712,c4cab3779ff7cb73753fd047be5f724da11ce1ce95bb4511cf38d901716367ec,,False,hruskove-aleje-a-dalsi-zelen__y7a6680.jpg,17,False
hruskove-aleje-a-dalsi-zelen__y7a6682.jpg,6682,zarazeno,4,01_zivotni_prostredi/hruskove-aleje-a-dalsi-zelen | 01_zivotni_prostredi/sad-nad-ms | 04_skolstvi/druhy-pavilon-ms | 04_skolstvi/nastavba-ms-detska-skupina,5472,3648,13526263,False,/Users/giorgio/Documents/Přezletice 26/Originální fotky/02_projekty/01_zivotni_prostredi/hruskove-aleje-a-dalsi-zelen/hruskove-aleje-a-dalsi-zelen__y7a6682.jpg,ec1cc8c4a6a2e0c0,120.727,e00f6ade855f685aa6df9651a3132118a4754768aeca0b4d3fe77d29d27af959,,False,hruskove-aleje-a-dalsi-zelen__y7a6687.jpg,18,False
hruskove-aleje-a-dalsi-zelen__y7a6683.jpg,6683,zarazeno,4,01_zivotni_prostredi/hruskove-aleje-a-dalsi-zelen | 01_zivotni_prostredi/sad-nad-ms | 04_skolstvi/druhy-pavilon-ms | 04_skolstvi/nastavba-ms-detska-skupina,5343,3562,14236078,False,/Users/giorgio/Documents/Přezletice 26/Originální fotky/02_projekty/01_zivotni_prostredi/hruskove-aleje-a-dalsi-zelen/hruskove-aleje-a-dalsi-zelen__y7a6683.jpg,e6a4e1a0b0f0e0d4,146.313,1da62ed1df3ff6815fc2910dfd8e563453331608f3fb3d1d9022829d9fe9e573,,False,hruskove-aleje-a-dalsi-zelen__y7a6687.jpg,16,False
hruskove-aleje-a-dalsi-zelen__y7a6684.jpg,6684,zarazeno,4,01_zivotni_prostredi/hruskove-aleje-a-dalsi-zelen | 01_zivotni_prostredi/sad-nad-ms | 04_skolstvi/druhy-pavilon-ms | 04_skolstvi/nastavba-ms-detska-skupina,5400,3600,14418732,False,/Users/giorgio/Documents/Přezletice 26/Originální fotky/02_projekty/01_zivotni_prostredi/hruskove-aleje-a-dalsi-zelen/hruskove-aleje-a-dalsi-zelen__y7a6684.jpg,e0e00064e492f1cc,155.229,04399596179af761acf40c99794d8e012042fb17d09df533bf6716f1b6a790c5,,False,hruskove-aleje-a-dalsi-zelen__y7a6682.jpg,21,False
hruskove-aleje-a-dalsi-zelen__y7a6685.jpg,6685,zarazeno,4,01_zivotni_prostredi/hruskove-aleje-a-dalsi-zelen | 01_zivotni_prostredi/sad-nad-ms | 04_skolstvi/druhy-pavilon-ms | 04_skolstvi/nastavba-ms-detska-skupina,5098,3399,13559652,False,/Users/giorgio/Documents/Přezletice 26/Originální fotky/02_projekty/01_zivotni_prostredi/hruskove-aleje-a-dalsi-zelen/hruskove-aleje-a-dalsi-zelen__y7a6685.jpg,a4e18094b4e4e4a6,136.282,d0024912fe0f9117c4abfcebed96a56080309222ad4d70a301a15ce61e5237cc,,False,hruskove-aleje-a-dalsi-zelen__y7a6687.jpg,15,False
hruskove-aleje-a-dalsi-zelen__y7a6686.jpg,6686,zarazeno,4,01_zivotni_prostredi/hruskove-aleje-a-dalsi-zelen | 01_zivotni_prostredi/sad-nad-ms | 04_skolstvi/druhy-pavilon-ms | 04_skolstvi/nastavba-ms-detska-skupina,5472,3648,16674320,False,/Users/giorgio/Documents/Přezletice 26/Originální fotky/02_projekty/01_zivotni_prostredi/hruskove-aleje-a-dalsi-zelen/hruskove-aleje-a-dalsi-zelen__y7a6686.jpg,e08123a37166c60b,200.428,4336dff4c267ed70025b75a4bb65af3ba4b658f2abb438d474fab85c68594a01,,False,zelen-mistni-komunikace__y7a6677.jpg,19,False
