cislo,sekce,projekt,puvodni_cesta,nova_cesta,metoda
6644,04_skolstvi,svazkova-skola-a-jidelna,/Users/giorgio/Documents/Přezletice 26/Originální fotky/02_projekty/00_nezarazene/nezarazeno__y7a6644.jpg,/Users/giorgio/Documents/Přezletice 26/Originální fotky/02_projekty/04_skolstvi/svazkova-skola-a-jidelna/svazkova-skola-a-jidelna__y7a6644.jpg,vizualni-identifikace-a-kontext-serie
6645,04_skolstvi,svazkova-skola-a-jidelna,/Users/giorgio/Documents/Přezletice 26/Originální fotky/02_projekty/00_nezarazene/nezarazeno__y7a6645.jpg,/Users/giorgio/Documents/Přezletice 26/Originální fotky/02_projekty/04_skolstvi/svazkova-skola-a-jidelna/svazkova-skola-a-jidelna__y7a6645.jpg,vizualni-identifikace-a-kontext-serie
6646,04_skolstvi,svazkova-skola-a-jidelna,/Users/giorgio/Documents/Přezletice 26/Originální fotky/02_projekty/00_nezarazene/nezarazeno__y7a6646.jpg,/Users/giorgio/Documents/Přezletice 26/Originální fotky/02_projekty/04_skolstvi/svazkova-skola-a-jidelna/svazkova-skola-a-jidelna__y7a6646.jpg,vizualni-identifikace-a-kontext-serie
6659,02_doprava,rekonstrukce-mistnich-komunikaci,/Users/giorgio/Documents/Přezletice 26/Originální fotky/02_projekty/00_nezarazene/nezarazeno__y7a6659.jpg,/Users/giorgio/Documents/Přezletice 26/Originální fotky/02_projekty/02_doprava/rekonstrukce-mistnich-komunikaci/rekonstrukce-mistnich-komunikaci__y7a6659.jpg,vizualni-identifikace-a-kontext-serie
6660,02_doprava,rekonstrukce-mistnich-komunikaci,/Users/giorgio/Documents/Přezletice 26/Originální fotky/02_projekty/00_nezarazene/nezarazeno__y7a6660.jpg,/Users/giorgio/Documents/Přezletice 26/Originální fotky/02_projekty/02_doprava/rekonstrukce-mistnich-komunikaci/rekonstrukce-mistnich-komunikaci__y7a6660.jpg,vizualni-identifikace-a-kontext-serie
6678,01_zivotni_prostredi,hruskove-aleje-a-dalsi-zelen,/Users/giorgio/Documents/Přezletice 26/Originální fotky/02_projekty/00_nezarazene/nezarazeno__y7a6678.jpg,/Users/giorgio/Documents/Přezletice 26/Originální fotky/02_projekty/01_zivotni_prostredi/hruskove-aleje-a-dalsi-zelen/hruskove-aleje-a-dalsi-zelen__y7a6678.jpg,vizualni-identifikace-a-kontext-serie
6679,01_zivotni_prostredi,hruskove-aleje-a-dalsi-zelen,/Users/giorgio/Documents/Přezletice 26/Originální fotky/02_projekty/00_nezarazene/nezarazeno__y7a6679.jpg,/Users/giorgio/Documents/Přezletice 26/Originální fotky/02_projekty/01_zivotni_prostredi/hruskove-aleje-a-dalsi-zelen/hruskove-aleje-a-dalsi-zelen__y7a6679.jpg,vizualni-identifikace-a-kontext-serie
6756,06_kultura,komunitni-centrum-zlatak,/Users/giorgio/Documents/Přezletice 26/Originální fotky/02_projekty/00_nezarazene/nezarazeno__y7a6756.jpg,/Users/giorgio/Documents/Přezletice 26/Originální fotky/02_projekty/06_kultura/komunitni-centrum-zlatak/komunitni-centrum-zlatak__y7a6756.jpg,vizualni-identifikace-a-kontext-serie
6801,08_zdravi-socialni,prakticky-lekar-a-ordinace,/Users/giorgio/Documents/Přezletice 26/Originální fotky/02_projekty/00_nezarazene/nezarazeno__y7a6801.jpg,/Users/giorgio/Documents/Přezletice 26/Originální fotky/02_projekty/08_zdravi-socialni/prakticky-lekar-a-ordinace/prakticky-lekar-a-ordinace__y7a6801.jpg,vizualni-identifikace-a-kontext-serie
6821,07_infrastruktura,podzemni-kontejnery,/Users/giorgio/Documents/Přezletice 26/Originální fotky/02_projekty/00_nezarazene/nezarazeno__y7a6821.jpg,/Users/giorgio/Documents/Přezletice 26/Originální fotky/02_projekty/07_infrastruktura/podzemni-kontejnery/podzemni-kontejnery__y7a6821.jpg,vizualni-identifikace-a-kontext-serie
